Version,Slot ID,LiDAR Index,Rsvd,Error Code,Timestamp Type,     Data Type,Timestamp,X,Y,Z,Reflectivity,Tag,Ori_x,Ori_y,Ori_z,Ori_radius,Ori_theta,Ori_phi
5,1,1,0,0x00000000,0,0,443885050960,24.533001,0.050000,-1.448000,43,0,24533,50,-1448,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.544001,0.060000,-1.498000,56,0,24544,60,-1498,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.531000,0.070000,-1.548000,44,0,24531,70,-1548,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.542000,0.080000,-1.600000,17,0,24542,80,-1600,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.556000,0.090000,-1.651000,7,0,24556,90,-1651,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.548000,0.101000,-1.701000,26,0,24548,101,-1701,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.545000,0.111000,-1.750000,38,0,24545,111,-1750,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.547001,0.122000,-1.801000,30,0,24547,122,-1801,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,24.313000,0.132000,-1.833000,19,0,24313,132,-1833,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,23.990000,0.140000,-1.857000,23,0,23990,140,-1857,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,23.812000,0.150000,-1.891000,33,0,23812,150,-1891,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,23.618000,0.160000,-1.923000,48,0,23618,160,-1923,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,23.409000,0.169000,-1.953000,45,0,23409,169,-1953,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,23.195999,0.178000,-1.982000,44,0,23196,178,-1982,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,22.900999,0.187000,-2.003000,48,0,22901,187,-2003,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,22.599001,0.195000,-2.022000,40,0,22599,195,-2022,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,22.358000,0.204000,-2.045000,47,0,22358,204,-2045,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,22.212000,0.214000,-2.076000,34,0,22212,214,-2076,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,21.980000,0.223000,-2.098000,58,0,21980,223,-2098,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,20.497000,0.218000,-1.997000,47,0,20497,218,-1997,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,20.017000,0.223000,-1.989000,13,0,20017,223,-1989,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,19.580999,0.238000,-2.023000,19,0,19581,238,-2023,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,19.289000,0.245000,-2.031000,49,0,19289,245,-2030,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,19.084000,0.252000,-2.046000,39,0,19084,252,-2046,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,18.952000,0.261000,-2.069000,32,0,18952,261,-2069,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,18.739000,0.268000,-2.082000,29,0,18739,268,-2082,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,18.357000,0.272000,-2.075000,13,0,18357,272,-2075,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,17.784000,0.274000,-2.045000,7,0,17784,274,-2045,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,17.296000,0.276000,-2.022000,8,0,17296,276,-2022,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,16.841000,0.278000,-2.002000,9,0,16841,278,-2002,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,16.423000,0.280000,-1.984000,9,0,16423,280,-1984,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,15.996000,0.282000,-1.963000,12,0,15996,282,-1963,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,15.649000,0.285000,-1.949000,10,0,15649,285,-1949,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,15.281000,0.287000,-1.933000,11,0,15281,287,-1933,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,14.969000,0.290000,-1.921000,15,0,14969,290,-1921,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,14.701000,0.293000,-1.915000,11,0,14701,293,-1915,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,14.419000,0.296000,-1.906000,17,0,14419,296,-1906,0,0,0
5,1,1,0,0x00000000,0,0,443885050960,14.174000,0.300000,-1.900000,17,0,14174,300,-1900,0,0,0
